record_id,record_type,call_state,date,start_time,end_time,call_id,caller_uri,caller_number,caller_ip,caller_port,callee_uri,callee_number,callee_ip,callee_port,duration,setup_time,status_code,status_text,termination_reason,invite_time,ringing_time,answer_time,bye_time,call_type,codec,user_agent,contact,expires,message_body,server_ip,server_port,cseq,extra_info
20251101120423000001,REGISTER,SUCCESS,2025-11-01,12:04:23,12:04:23,xzngL4ejYEGqt-VFhoaG5A..,sip:1004@192.168.100.8,1004,192.168.100.5,5960,,,,,,,200,OK,,,,,,,,PortSIP UC Client iOS - v12.4.1,sip:1004@192.168.100.5:5960,90,,192.168.100.8,5060,2 REGISTER,
20251101120443000002,REGISTER,SUCCESS,2025-11-01,12:04:43,12:04:43,752486-1761991483,sip:0000@192.168.100.8,0000,192.168.100.8,10000,,,,,,,200,OK,,,,,,,,,sip:0000@192.168.100.8:10000,3600,,192.168.100.8,5060,2 REGISTER,
20251101120459000003,REGISTER,SUCCESS,2025-11-01,12:04:59,12:04:59,345830-1761991499,sip:0000@192.168.100.8,0000,192.168.100.8,60353,,,,,,,200,OK,,,,,,,,,sip:0000@192.168.100.8:10000,3600,,192.168.100.8,5060,2 REGISTER,
20251101120459000004,CALL,ENDED,2025-11-01,12:04:59,12:05:22,606508-1761991499,<sip:0000@192.168.100.8>;tag=773645,0000,192.168.100.8,60353,<sip:1004@192.168.100.8>,1004,192.168.100.5,5960,19.32,3.44s,200,OK,Normal,12:04:59.812,,12:05:03.249,12:05:22.571,AUDIO,PCMU,,,,,192.168.100.8,5060,2 BYE,
20251101120522000005,REGISTER,UNREGISTERED,2025-11-01,12:05:22,12:05:22,327232-1761991522,sip:0000@192.168.100.8,0000,192.168.100.8,56133,,,,,,,200,OK,,,,,,,,,sip:0000@192.168.100.8:56133,,,,,2 REGISTER,
20251101131810000001,REGISTER,SUCCESS,2025-11-01,13:18:10,13:18:10,v3n_VJoZNH9QxWKBK_De6Q..,sip:1001@192.168.8.134,1001,192.168.8.129,58165,,,,,,,200,OK,,,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:58165;rinstance=74e3a5cdc13b7e70;transport=UDP,60,,192.168.8.134,5060,2 REGISTER,
20251101131823000003,REGISTER,SUCCESS,2025-11-01,13:18:23,13:18:23,120834-1761995903,sip:0000@192.168.8.134,0000,192.168.8.134,10000,,,,,,,200,OK,,,,,,,,,sip:0000@192.168.8.134:10000,3600,,192.168.8.134,5060,2 REGISTER,
20251101131832000004,REGISTER,SUCCESS,2025-11-01,13:18:32,13:18:32,175219-1761995912,sip:0000@192.168.8.134,0000,192.168.8.134,65414,,,,,,,200,OK,,,,,,,,,sip:0000@192.168.8.134:10000,3600,,192.168.8.134,5060,2 REGISTER,
20251101131839000005,REGISTER,SUCCESS,2025-11-01,13:18:39,13:18:39,573888-1761995919,sip:0000@192.168.8.134,0000,192.168.8.134,10001,,,,,,,200,OK,,,,,,,,,sip:0000@192.168.8.134:10000,3600,,192.168.8.134,5060,2 REGISTER,
20251101131839000006,CALL,ENDED,2025-11-01,13:18:39,13:19:02,526906-1761995919,<sip:0000@192.168.8.134>;tag=350443,0000,192.168.8.134,10001,<sip:1001@192.168.8.134>,1001,192.168.8.129,58165,19.32,3.28s,200,OK,Normal,13:18:39.785,,13:18:43.064,13:19:02.388,AUDIO,"speex, iLBC, telephone-event",,,,,192.168.8.134,5060,2 BYE,
